state_name,year,quarter_num,median_home_value,yoy_growth_pct
New Jersey,2021,4,419235.25,14.27
New Jersey,2022,1,430832.25,12.27
New Jersey,2022,2,447645.45,12.02
New Jersey,2022,3,455567.34,10.5
New Jersey,2022,4,453428.9,8.16
New Jersey,2023,1,458184.99,6.35
North Dakota,2020,1,207914.99,
North Dakota,2020,2,209602.08,
North Dakota,2020,3,211648.19,
North Dakota,2020,4,214886.93,
North Dakota,2021,1,216586.29,4.17
North Dakota,2021,2,220102.49,5.01
North Dakota,2021,3,225826.74,6.7
North Dakota,2021,4,228966.68,6.55
North Dakota,2022,1,234234.55,8.15
North Dakota,2022,2,240331.76,9.19
North Dakota,2022,3,244165.12,8.12
North Dakota,2022,4,244664.33,6.86
North Dakota,2023,1,245663.35,4.88
Oregon,2020,1,374511.37,
Oregon,2020,2,381422.55,
Oregon,2020,3,385450.52,
Oregon,2020,4,401941.48,
Oregon,2021,1,423510.7,13.08
Oregon,2021,2,446681.28,17.11
Oregon,2021,3,464728.39,20.57
Oregon,2021,4,475717.61,18.35
Oregon,2022,1,492306.39,16.24
Oregon,2022,2,515159.95,15.33
Oregon,2022,3,516432.05,11.13
Oregon,2022,4,503476.12,5.84
Oregon,2023,1,496446.4,0.84
Rhode Island,2020,1,310877.51,
Rhode Island,2020,2,317128.23,
Rhode Island,2020,3,320109.56,
Rhode Island,2020,4,333701.35,
Rhode Island,2021,1,351269.33,12.99
Rhode Island,2021,2,369007.56,16.36
Rhode Island,2021,3,379718.02,18.62
Rhode Island,2021,4,381490.04,14.32
Rhode Island,2022,1,393663.26,12.07
Rhode Island,2022,2,415568.83,12.62
Rhode Island,2022,3,423847.6,11.62
Rhode Island,2022,4,421050.18,10.37
Rhode Island,2023,1,422317.97,7.28
South Carolina,2020,1,190946.3,
South Carolina,2020,2,194235.07,
South Carolina,2020,3,197860.49,
South Carolina,2020,4,205446.11,
South Carolina,2021,1,213556.65,11.84
South Carolina,2021,2,222643.02,14.63
South Carolina,2021,3,233244.26,17.88
South Carolina,2021,4,241322.84,17.46
South Carolina,2022,1,253867.28,18.88
South Carolina,2022,2,270040.35,21.29
South Carolina,2022,3,279784.15,19.95
South Carolina,2022,4,280588.89,16.27
South Carolina,2023,1,281387.6,10.84
Tennessee,2020,1,200780.65,
Tennessee,2020,2,204889.01,
Tennessee,2020,3,208442.88,
Tennessee,2020,4,216687.24,
Tennessee,2021,1,225867.18,12.49
Tennessee,2021,2,237141.53,15.74
Tennessee,2021,3,250729.52,20.29
Tennessee,2021,4,260744.89,20.33
Tennessee,2022,1,276855.67,22.57
Tennessee,2022,2,294302.84,24.1
Tennessee,2022,3,302029.25,20.46
Tennessee,2022,4,299765.54,14.97
Tennessee,2023,1,300312.09,8.47
Texas,2020,1,214700.15,
Texas,2020,2,216994.45,
Texas,2020,3,219575.09,
Texas,2020,4,226551.19,
Texas,2021,1,235262.64,9.58
Texas,2021,2,246856.46,13.76
Texas,2021,3,259209.07,18.05
Texas,2021,4,268488.13,18.51
Texas,2022,1,282476.61,20.07
Texas,2022,2,299228.74,21.22
Texas,2022,3,307395.71,18.59
Texas,2022,4,305068.49,13.62
Texas,2023,1,301971.28,6.9
West Virginia,2020,1,115341.24,
West Virginia,2020,2,118062.71,
West Virginia,2020,3,119785.13,
West Virginia,2020,4,124856.48,
West Virginia,2021,1,131221.75,13.77
West Virginia,2021,2,136831.71,15.9
West Virginia,2021,3,138510.96,15.63
West Virginia,2021,4,137570.96,10.18
West Virginia,2022,1,142922.3,8.92
West Virginia,2022,2,149597.43,9.33
West Virginia,2022,3,152048.16,9.77
West Virginia,2022,4,151607.79,10.2
West Virginia,2023,1,152054.02,6.39
Hawaii,2020,1,615068.87,
Hawaii,2020,2,619962.43,
Hawaii,2020,3,622065.54,
Hawaii,2020,4,639911.07,
Hawaii,2021,1,661698.35,7.58
Hawaii,2021,2,688502.76,11.06
Hawaii,2021,3,717395.38,15.32
Hawaii,2021,4,741891.65,15.94
Hawaii,2022,1,788886.44,19.22
Hawaii,2022,2,845132.59,22.75
Hawaii,2022,3,856428.63,19.38
Hawaii,2022,4,845651.6,13.99
Hawaii,2023,1,833627.77,5.67
Vermont,2020,1,235370.27,
Vermont,2020,2,237916.74,
Vermont,2020,3,241839.68,
Vermont,2020,4,252103.22,
Vermont,2021,1,263125.64,11.79
Vermont,2021,2,275083.62,15.62
Vermont,2021,3,290686.97,20.2
Vermont,2021,4,295569.25,17.24
Vermont,2022,1,306908.69,16.64
Vermont,2022,2,323736.21,17.69
Vermont,2022,3,331080.72,13.9
Vermont,2022,4,329701.81,11.55
Vermont,2023,1,336585.64,9.67
Virginia,2020,1,281415.9,
Virginia,2020,2,285189.05,
Virginia,2020,3,288924.07,
Virginia,2020,4,299528.87,
Virginia,2021,1,310970.97,10.5
Virginia,2021,2,323143.16,13.31
Virginia,2021,3,332043.44,14.92
Virginia,2021,4,335307.07,11.94
Virginia,2022,1,346224.68,11.34
Virginia,2022,2,360863.59,11.67
Virginia,2022,3,366794.98,10.47
Virginia,2022,4,365257.01,8.93
Virginia,2023,1,366239.72,5.78
District of Columbia,2020,1,583077.57,
District of Columbia,2020,2,596939.65,
District of Columbia,2020,3,603087.98,
District of Columbia,2020,4,616129.46,
District of Columbia,2021,1,625827.4,7.33
District of Columbia,2021,2,638951.32,7.04
District of Columbia,2021,3,647145.74,7.31
District of Columbia,2021,4,645961.3,4.84
District of Columbia,2022,1,652141.1,4.2
District of Columbia,2022,2,668044.04,4.55
District of Columbia,2022,3,658593.41,1.77
District of Columbia,2022,4,641062.41,-0.76
District of Columbia,2023,1,631669.59,-3.14
California,2020,1,560900.75,
California,2020,2,565058.4,
California,2020,3,569383.59,
California,2020,4,597050.94,
California,2021,1,625395.48,11.5
California,2021,2,653080.78,15.58
California,2021,3,682664.93,19.9
California,2021,4,701271.23,17.46
California,2022,1,732191.05,17.08
California,2022,2,769686.71,17.85
California,2022,3,771944.82,13.08
California,2022,4,753553.23,7.46
California,2023,1,737466.54,0.72
North Carolina,2020,1,211094.08,
North Carolina,2020,2,215179.3,
North Carolina,2020,3,219325.57,
North Carolina,2020,4,229113.13,
North Carolina,2021,1,240341.6,13.86
North Carolina,2021,2,253211.44,17.67
North Carolina,2021,3,266212.35,21.38
North Carolina,2021,4,274217.71,19.69
North Carolina,2022,1,288903.75,20.21
North Carolina,2022,2,309936.48,22.4
North Carolina,2022,3,320839.21,20.52
North Carolina,2022,4,319995.5,16.69
North Carolina,2023,1,319213.86,10.49
Delaware,2020,1,270945.05,
Delaware,2020,2,274622.74,
Delaware,2020,3,277926.03,
Delaware,2020,4,289319.63,
Delaware,2021,1,305031.89,12.58
Delaware,2021,2,318772.73,16.08
Delaware,2021,3,329192.09,18.45
Delaware,2021,4,333420.36,15.24
Delaware,2022,1,345588.81,13.3
Delaware,2022,2,362087.35,13.59
